Question,Oprion 1,Option 2,Option 3,Option 4,Answer,Question_type,Diagram
&lt;p&gt;The angular velocity of a body moving with a constant speed v in a circle of radius r is given by&lt;/p&gt;,&lt;p&gt;All of the following&lt;/p&gt;,&lt;p&gt;&lt;math xmlns=&quot;http://www.w3.org/1998/Math/MathML&quot;&gt;&lt;mi&gt;v&lt;/mi&gt;&lt;mi&gt;r&lt;/mi&gt;&lt;/math&gt;&lt;/p&gt;,&lt;p&gt;&lt;math xmlns=&quot;http://www.w3.org/1998/Math/MathML&quot;&gt;&lt;mfrac&gt;&lt;mi&gt;v&lt;/mi&gt;&lt;mi&gt;r&lt;/mi&gt;&lt;/mfrac&gt;&lt;/math&gt;&lt;/p&gt;,&lt;p&gt;&lt;math xmlns=&quot;http://www.w3.org/1998/Math/MathML&quot;&gt;&lt;mi&gt;m&lt;/mi&gt;&lt;mi&gt;v&lt;/mi&gt;&lt;mi&gt;&amp;#945;&lt;/mi&gt;&lt;/math&gt;&lt;/p&gt;,3,1,
&lt;p&gt;An example of random error would be &amp;hellip;&amp;hellip;&amp;hellip;&amp;hellip;&amp;hellip;&amp;hellip;. On the thermometer&lt;/p&gt;,&lt;p&gt;Reduced&lt;/p&gt;,&lt;p&gt;Repeated&lt;/p&gt;,&lt;p&gt;Far from the line of best fit&lt;/p&gt;,&lt;p&gt;Misreading the temperature&lt;/p&gt;,4,1,
&lt;p&gt;A measurement is &amp;hellip;&amp;hellip;&amp;hellip;&amp;hellip;&amp;hellip;&amp;hellip;&amp;hellip;&amp;hellip;&amp;hellip;&amp;hellip;&amp;hellip;&amp;hellip; if the same investigator repeats the experiment under the same conditions and gets similar results&lt;/p&gt;,&lt;p&gt;Not been calibrated&lt;/p&gt;,&lt;p&gt;Systematic&lt;/p&gt;,&lt;p&gt;Random&lt;/p&gt;,&lt;p&gt;Reduced&lt;/p&gt;,2,1,
&lt;p&gt;Random errors can be &amp;hellip;&amp;hellip;&amp;hellip;&amp;hellip;&amp;hellip;&amp;hellip;&amp;hellip;&amp;hellip;&amp;hellip;&amp;hellip;.&lt;/p&gt;,&lt;p&gt;Incorrectly measuring the volume&lt;/p&gt;,&lt;p&gt;Identifying the cause&lt;/p&gt;,&lt;p&gt;Anomalous result&lt;/p&gt;,&lt;p&gt;Minimized&lt;/p&gt;,4,1,
&lt;p&gt;The SI standard of length is based on:&lt;/p&gt;,&lt;p&gt;Wavelength of light emitted by Hg198&lt;/p&gt;,&lt;p&gt;Wavelength of light emitted by Kr86&lt;/p&gt;,&lt;p&gt;A precision meter stick in Paris&lt;/p&gt;,&lt;p&gt;The speed of light&lt;/p&gt;,4,1,
&lt;p&gt;&amp;nbsp;An example of random error would be &amp;hellip;&amp;hellip;&amp;hellip;&amp;hellip;&amp;hellip;&amp;hellip;&amp;hellip;&amp;hellip;&amp;hellip;&amp;hellip;&amp;hellip; of a liquid using measuring cylinder.&lt;/p&gt;,&lt;p&gt;Incorrectly measuring the volume&lt;/p&gt;,&lt;p&gt;Faulty equipment&lt;/p&gt;,&lt;p&gt;Incorrectly measuring the mass&lt;/p&gt;,&lt;p&gt;Repeatable&lt;/p&gt;,1,1,
&lt;p&gt;What type of error occur due to fluctuations in temperature or mechanical vibrations of an equipment?&lt;/p&gt;,&lt;p&gt;Random&lt;/p&gt;,&lt;p&gt;Repeated&lt;/p&gt;,&lt;p&gt;Systematic&lt;/p&gt;,&lt;p&gt;Both random and systematic&lt;/p&gt;,3,1,
&lt;p&gt;Velocity is defined as:&lt;/p&gt;,&lt;p&gt;rate of change of position with time&lt;/p&gt;,&lt;p&gt;speed divided by time&lt;/p&gt;,&lt;p&gt;rate of change of acceleration with time&lt;/p&gt;,&lt;p&gt;a speeding up or slowing down&lt;/p&gt;,1,1,
&lt;p&gt;Which of the following is a scalar quantity?&lt;/p&gt;,&lt;p&gt;Speed&lt;/p&gt;,&lt;p&gt;Velocity&lt;/p&gt;,&lt;p&gt;Displacement&lt;/p&gt;,&lt;p&gt;Acceleration&lt;/p&gt;,1,1,
&lt;p&gt;Which of the following is a vector quantity?&lt;/p&gt;,&lt;p&gt;Density&lt;/p&gt;,&lt;p&gt;Speed&lt;/p&gt;,&lt;p&gt;Temperature&lt;/p&gt;,&lt;p&gt;None of these&lt;/p&gt;,4,1,
&lt;p&gt;Which of the following is NOT an example of accelerated motion?&lt;/p&gt;,&lt;p&gt;Circular motion at constant speed&lt;/p&gt;,&lt;p&gt;A swinging pendulum&lt;/p&gt;,&lt;p&gt;Earth&amp;rsquo;s motion about sun&lt;/p&gt;,&lt;p&gt;Horizontal component of projectile motion&lt;/p&gt;,4,1,
&lt;p&gt;The physical quantity that has the same dimensions as impulse is&lt;/p&gt;,&lt;p&gt;Energy&lt;/p&gt;,&lt;p&gt;Momentum&lt;/p&gt;,&lt;p&gt;Surface tension&lt;/p&gt;,&lt;p&gt;Pressure&lt;/p&gt;,2,1,
&lt;p&gt;Measurement is a process in which the properties of an object are determined by comparing them to a standard or known quantity.&lt;/p&gt;,&lt;p&gt;True&lt;/p&gt;,&lt;p&gt;False&lt;/p&gt;,&lt;p&gt;no answer&lt;/p&gt;,&lt;p&gt;no answer&lt;/p&gt;,1,1,
&lt;p&gt;Becquerel is the unit of ________.&lt;/p&gt;,&lt;p&gt;Frequency&lt;/p&gt;,&lt;p&gt;Radioactive decay&lt;/p&gt;,&lt;p&gt;Electrical capacitance&lt;/p&gt;,&lt;p&gt;Luminous intensity&lt;/p&gt;,2,1,
&lt;p&gt;Which of the following is a vector quantity?&lt;/p&gt;,&lt;p&gt;Distance&lt;/p&gt;,&lt;p&gt;Speed&lt;/p&gt;,&lt;p&gt;Work&lt;/p&gt;,&lt;p&gt;Weight&lt;/p&gt;,4,1,
&lt;p&gt;Which of the following is not true about measurable quantities and their units?&lt;/p&gt;,"&lt;p&gt;Temperature, Kelvin&lt;/p&gt;","&lt;p&gt;Length, Metre&lt;/p&gt;",&lt;p&gt;Mass - Kilogram&lt;/p&gt;,&lt;p&gt;Weight - Pascal&lt;/p&gt;,4,1,
&lt;p&gt;&amp;nbsp;A ____________charge is defined as the amount of electric charge transported by one-ampere current in one second from one point to another.&lt;/p&gt;,&lt;p&gt;Volt&lt;/p&gt;,&lt;p&gt;Candela&lt;/p&gt;,&lt;p&gt;Coulomb&lt;/p&gt;,&lt;p&gt;None of the above&lt;/p&gt;,3,1,
&lt;p&gt;Select the incorrectly matched option&lt;/p&gt;,&lt;p&gt;Work- scalar quantity&lt;/p&gt;,&lt;p&gt;Heat- scalar quantity&lt;/p&gt;,&lt;p&gt;Force- scalar quantity&lt;/p&gt;,&lt;p&gt;Impulse- vector quantity&lt;/p&gt;,3,1,
&lt;p&gt;Which of the following is an example of vector quantity&lt;/p&gt;,&lt;p&gt;Velocity&lt;/p&gt;,&lt;p&gt;Distance&lt;/p&gt;,&lt;p&gt;Entropy&lt;/p&gt;,&lt;p&gt;Energy&lt;/p&gt;,1,1,
&lt;p&gt;How many fundamental quantities do we have?&lt;/p&gt;,&lt;p&gt;2&lt;/p&gt;,&lt;p&gt;7&lt;/p&gt;,&lt;p&gt;3&lt;/p&gt;,&lt;p&gt;5&lt;/p&gt;,2,1,
&lt;p&gt;Distance covered by an object per unit time is called?&lt;/p&gt;,&lt;p&gt;Pressure&lt;/p&gt;,&lt;p&gt;Speed&lt;/p&gt;,&lt;p&gt;Motion&lt;/p&gt;,&lt;p&gt;Acceleration&lt;/p&gt;,2,1,
&lt;p&gt;The S.I. unit of electrical resistance is one of the following&lt;/p&gt;,&lt;p&gt;Volt&lt;/p&gt;,&lt;p&gt;Ampere&lt;/p&gt;,&lt;p&gt;Ohms&lt;/p&gt;,&lt;p&gt;Joule&lt;/p&gt;,3,1,
&lt;p&gt;Which of the following is the unit of amount of substance?&lt;/p&gt;,&lt;p&gt;Dyne&lt;/p&gt;,&lt;p&gt;Newton&lt;/p&gt;,&lt;p&gt;Erg&lt;/p&gt;,&lt;p&gt;Mole&lt;/p&gt;,4,1,
&lt;p&gt;Which of the following is TRUE about Mass and Weight?&lt;/p&gt;,&lt;p&gt;Mass is a vector quantity and weight is a scalar quantity.&lt;/p&gt;,&lt;p&gt;Both mass and weight are vector quantities.&lt;/p&gt;,&lt;p&gt;Both mass and weight are scalar quantities.&lt;/p&gt;,&lt;p&gt;Mass is a scalar quantity and weight is a vector quantity&lt;/p&gt;,4,1,
&lt;p&gt;The vector &amp;minus; A is:&lt;/p&gt;,&lt;p&gt;greater than A in magnitude&lt;/p&gt;,&lt;p&gt;less than A in magnitude&lt;/p&gt;,&lt;p&gt;in the same direction as A&lt;/p&gt;,&lt;p&gt;in the direction opposite to A&lt;/p&gt;,4,1,
&lt;p&gt;A unit vector is dimensionless vector having a magnitude of exactly 1.&lt;/p&gt;&lt;p&gt;&amp;nbsp;&lt;/p&gt;,&lt;p&gt;True&lt;/p&gt;,&lt;p&gt;False&lt;/p&gt;,&lt;p&gt;No answer&lt;/p&gt;,&lt;p&gt;No answer&lt;/p&gt;,1,1,
"&lt;p&gt;If the magnitude of the sum of two vectors is less than the magnitude of either vector, then:&lt;/p&gt;",&lt;p&gt;the scalar product of the vectors must be negative&lt;/p&gt;,&lt;p&gt;the scalar product of the vectors must be positive&lt;/p&gt;,&lt;p&gt;the vectors must be parallel and in opposite directions&lt;/p&gt;,&lt;p&gt;the vectors must be parallel and in the same direction&lt;/p&gt;,1,1,
&lt;p&gt;Which of the following holds true for a vector quantity?&lt;/p&gt;,&lt;p&gt;It has only magnitude&lt;/p&gt;,&lt;p&gt;It has only direction&lt;/p&gt;,&lt;p&gt;A vector has both direction and magnitude&lt;/p&gt;,&lt;p&gt;A vector can never be negative&lt;/p&gt;,3,1,
&lt;p&gt;Which of the following is a vector?&lt;/p&gt;,&lt;p&gt;Surface Tension&lt;/p&gt;,&lt;p&gt;Moment of Inertia&lt;/p&gt;,&lt;p&gt;Pressure&lt;/p&gt;,&lt;p&gt;None of the above&lt;/p&gt;,4,1,
"&lt;p&gt;If the magnitude of the sum of two vectors is less than the magnitude of either vector, then:&lt;/p&gt;",&lt;p&gt;the scalar product of the vectors must be negative&lt;/p&gt;,&lt;p&gt;the scalar product of the vectors must be positive&lt;/p&gt;,&lt;p&gt;the vectors must be parallel and in opposite directions&lt;/p&gt;,&lt;p&gt;the vectors must be parallel and in the same direction&lt;/p&gt;,1,1,
&lt;p&gt;Which of the following statements is false?&lt;/p&gt;,&lt;p&gt;Cross product is commutative&lt;/p&gt;,&lt;p&gt;Cross product is distributive over addition&lt;/p&gt;,&lt;p&gt;Dot product of two vectors gives a scalar&lt;/p&gt;,&lt;p&gt;Dot product is commutative&lt;/p&gt;,1,1,
&lt;p&gt;The average speed of a moving object during a given interval of time is always:&lt;/p&gt;,&lt;p&gt;the magnitude of its average velocity over the interval&lt;/p&gt;,&lt;p&gt;the distance covered during the time interval divided by the time interval&lt;/p&gt;,&lt;p&gt;one-half its speed at the end of the interval&lt;/p&gt;,&lt;p&gt;its acceleration multiplied by the time interval&lt;/p&gt;,2,1,
"&lt;p&gt;Of the following situations, which one is impossible?&lt;/p&gt;",&lt;p&gt;A body having velocity east and acceleration west&lt;/p&gt;,&lt;p&gt;A body having zero velocity and non-zero acceleration&lt;/p&gt;,&lt;p&gt;A body having constant acceleration and variable velocity&lt;/p&gt;,&lt;p&gt;A body having constant velocity and variable acceleration&lt;/p&gt;,4,1,
"&lt;p&gt;Throughout a time interval, while the speed of a particle increases as it moves along the x axis, its velocity and acceleration might be:&lt;/p&gt;","&lt;p&gt;positive and negative, respectively&lt;/p&gt;","&lt;p&gt;negative and positive, respectively&lt;/p&gt;","&lt;p&gt;negative and negative, respectively&lt;/p&gt;","&lt;p&gt;negative and zero, respectively&lt;/p&gt;",3,1,
&lt;p&gt;A particle moves on the x axis. When its acceleration is positive and increasing:&lt;/p&gt;,&lt;p&gt;its velocity must be positive&lt;/p&gt;,&lt;p&gt;it must be slowing down&lt;/p&gt;,&lt;p&gt;it must be speeding up&lt;/p&gt;,&lt;p&gt;none of the above must be true&lt;/p&gt;,4,1,
&lt;p&gt;A ball is in free fall. Its acceleration is:&lt;/p&gt;,&lt;p&gt;downward during both ascent and descent&lt;/p&gt;,&lt;p&gt;downward during ascent and upward during descent&lt;/p&gt;,&lt;p&gt;upward during ascent and downward during descent&lt;/p&gt;,&lt;p&gt;upward during both ascent and descent&lt;/p&gt;,1,1,
&lt;p&gt;A ball is in free fall. Upward is taken to be the positive direction. The displacement of the ball during a short time interval is:&lt;/p&gt;,&lt;p&gt;positive during both ascent and descent&lt;/p&gt;,&lt;p&gt;negative during both ascent and descent&lt;/p&gt;,&lt;p&gt;negative during ascent and positive during descent&lt;/p&gt;,&lt;p&gt;positive during ascent and negative during descent&lt;/p&gt;,4,1,
&lt;p&gt;An object is shot vertically upward. While it is rising:&lt;/p&gt;,&lt;p&gt;its velocity and acceleration are both upward&lt;/p&gt;,&lt;p&gt;its velocity is upward and its acceleration is downward&lt;/p&gt;,&lt;p&gt;its velocity and acceleration are both downward&lt;/p&gt;,&lt;p&gt;its velocity is downward and its acceleration is upward&lt;/p&gt;,2,1,
&lt;p&gt;The point beyond which a stretched spring does not return to its original length is called the&lt;/p&gt;,&lt;p&gt;Breaking point&lt;/p&gt;,&lt;p&gt;Elastic limit&lt;/p&gt;,&lt;p&gt;Spring constant&lt;/p&gt;,&lt;p&gt;Elasticity point&lt;/p&gt;,2,1,
&lt;p&gt;52. The point beyond which a stretched spring does return to its original length is called the&lt;/p&gt;,&lt;p&gt;Breaking point&lt;/p&gt;,&lt;p&gt;Elastic limit&lt;/p&gt;,&lt;p&gt;Spring constant&lt;/p&gt;,&lt;p&gt;Elasticity point&lt;/p&gt;,4,1,
&lt;p&gt;The modulus of elasticity is dimensionally equivalent to&lt;/p&gt;,&lt;p&gt;Strain&amp;nbsp;&lt;/p&gt;,&lt;p&gt;Stress&lt;/p&gt;,&lt;p&gt;Surface tension&lt;/p&gt;,&lt;p&gt;Poisson&amp;rsquo;s ratio&lt;/p&gt;,2,1,
"&lt;p&gt;If by applying a force, the shape of a body is changed, then the corresponding stress is known as&lt;/p&gt;",&lt;p&gt;Tensile stress&amp;nbsp;&lt;/p&gt;,&lt;p&gt;Bulk stress&lt;/p&gt;,&lt;p&gt;Shearing stress&lt;/p&gt;,&lt;p&gt;Compressive stress&lt;/p&gt;,3,1,
"&lt;p&gt;According to Horke&amp;rsquo;s law of elasticity, within elastic limits, if the stress is increased, the ratio of stress to strain&lt;/p&gt;",&lt;p&gt;Increases&lt;/p&gt;,&lt;p&gt;Decreases&lt;/p&gt;,&lt;p&gt;Becomes zero&lt;/p&gt;,&lt;p&gt;Remains constant&lt;/p&gt;,4,1,
&lt;p&gt;symbol for young modulus is&lt;/p&gt;,&lt;p&gt;M&lt;/p&gt;,&lt;p&gt;y&lt;/p&gt;,&lt;p&gt;Y&lt;/p&gt;,&lt;p&gt;q&lt;/p&gt;,3,1,
"&lt;p&gt;In an experiment to determine the Young&amp;rsquo;s modulus of the material of a wire, the length of the wire and the suspended mass are doubled. Then the Young&amp;rsquo;s modulus of the wire&lt;/p&gt;",&lt;p&gt;Becomes double&lt;/p&gt;,&lt;p&gt;Becomes four time&lt;/p&gt;,&lt;p&gt;Remain unchanged&lt;/p&gt;,&lt;p&gt;Becomes half&lt;/p&gt;,3,1,
&lt;p&gt;Which one of he following does not affect the elasticity of a substance?&lt;/p&gt;,&lt;p&gt;Hammering&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;&lt;/p&gt;,&lt;p&gt;Adding impurity in the substance&lt;/p&gt;,&lt;p&gt;Changing the dimensions&lt;/p&gt;,&lt;p&gt;Change of temperature&lt;/p&gt;,3,1,
&lt;p&gt;The bulk modulus of a fluid is inversely proportional to the&lt;/p&gt;,&lt;p&gt;Change in pressure&lt;/p&gt;,&lt;p&gt;Volume of the fluid&amp;nbsp;&amp;nbsp;&lt;/p&gt;,&lt;p&gt;Density of the fluid&lt;/p&gt;,&lt;p&gt;Change in its volume&lt;/p&gt;,4,1,
&lt;p&gt;The formula we use to find stress is&lt;/p&gt;,&lt;p&gt;area / force&lt;/p&gt;,&lt;p&gt;force / area&lt;/p&gt;,&lt;p&gt;force + area&lt;/p&gt;,&lt;p&gt;force &amp;times; area&lt;/p&gt;,2,1,
&lt;p&gt;The unit of strain is&lt;/p&gt;,&lt;p&gt;newton&lt;/p&gt;,&lt;p&gt;joule&lt;/p&gt;,&lt;p&gt;pascal&lt;/p&gt;,&lt;p&gt;no unit&lt;/p&gt;,4,1,
"&lt;p&gt;A comparison of such a change caused by the stress with the original shape, volume or length is called&lt;/p&gt;",&lt;p&gt;stress&lt;/p&gt;,&lt;p&gt;strain&lt;/p&gt;,&lt;p&gt;density&lt;/p&gt;,&lt;p&gt;elasticity&lt;/p&gt;,2,1,
&lt;p&gt;The property of a body to restore its original size and shape as the deforming force ceases to act is called&lt;/p&gt;,&lt;p&gt;energy&lt;/p&gt;,&lt;p&gt;floating&lt;/p&gt;,&lt;p&gt;elasticity&lt;/p&gt;,&lt;p&gt;density&lt;/p&gt;,3,1,
&lt;p&gt;If stress produces a change in the length of an object then the strain is termed as&lt;/p&gt;,&lt;p&gt;zero strain&lt;/p&gt;,&lt;p&gt;constant strain&lt;/p&gt;,&lt;p&gt;former strain&lt;/p&gt;,&lt;p&gt;tensile strain&lt;/p&gt;,4,1,
"&lt;p&gt;deformation occurs when an object is subjected to a force parallel to one of its faces while the opposite face is held fixed by another force. In this situation, the stress is called&lt;/p&gt;",&lt;p&gt;young modulus&lt;/p&gt;,&lt;p&gt;shear stress.&lt;/p&gt;,&lt;p&gt;shear strength&lt;/p&gt;,&lt;p&gt;Bulk Street&lt;/p&gt;,2,1,
&lt;p&gt;Longitudinal stress is also known as&lt;/p&gt;,&lt;p&gt;zero strain&lt;/p&gt;,&lt;p&gt;constant strain&lt;/p&gt;,&lt;p&gt;former strain&lt;/p&gt;,&lt;p&gt;tensile strain&lt;/p&gt;,4,1,
&lt;p&gt;&lt;math xmlns=&quot;http://www.w3.org/1998/Math/MathML&quot;&gt;&lt;mfrac bevelled=&quot;true&quot;&gt;&lt;mi&gt;N&lt;/mi&gt;&lt;msup&gt;&lt;mi&gt;m&lt;/mi&gt;&lt;mn&gt;2&lt;/mn&gt;&lt;/msup&gt;&lt;/mfrac&gt;&lt;/math&gt;&amp;nbsp;is a unit of&lt;/p&gt;,&lt;p&gt;stress&lt;/p&gt;,&lt;p&gt;strain&lt;/p&gt;,&lt;p&gt;force&lt;/p&gt;,&lt;p&gt;accelaration&lt;/p&gt;,1,1,
&lt;p&gt;Which of the following is hook&amp;#39;s law&lt;/p&gt;,&lt;p&gt;ma&lt;/p&gt;,&lt;p&gt;Ra&lt;/p&gt;,&lt;p&gt;ke&lt;/p&gt;,&lt;p&gt;wr&lt;/p&gt;,3,1,
&lt;p&gt;momentum can be represented by&lt;/p&gt;,&lt;p&gt;M&lt;/p&gt;,&lt;p&gt;K&lt;/p&gt;,&lt;p&gt;P&lt;/p&gt;,&lt;p&gt;U&lt;/p&gt;,3,1,
&lt;p&gt;Which one of the following devices acts on the principle of circular motion?&lt;/p&gt;,&lt;p&gt;Centrifuge&lt;/p&gt;,&lt;p&gt;Screw Gauge&lt;/p&gt;,&lt;p&gt;Ruler&lt;/p&gt;,&lt;p&gt;Vernier calipers&lt;/p&gt;,2,1,
&lt;p&gt;At which position in vertical circular motion is the tension in the string minimum?&lt;/p&gt;,&lt;p&gt;At the highest position&lt;/p&gt;,&lt;p&gt;At the lowest position&lt;/p&gt;,&lt;p&gt;When the string is horizontal&lt;/p&gt;,&lt;p&gt;At an angle of 35&amp;deg; from the horizontal&lt;/p&gt;,1,1,
"&lt;p&gt;Lead (Pb), Copper (Cu) are examples of&lt;/p&gt;",&lt;p&gt;Ductile substance&lt;/p&gt;,&lt;p&gt;Brittle substance&lt;/p&gt;,&lt;p&gt;non metallic substance&lt;/p&gt;,&lt;p&gt;magnetic&lt;/p&gt;,1,1,
"&lt;p&gt;Glass, high carbon steel brass, bronze are examples of&lt;/p&gt;",&lt;p&gt;Brittle substance&lt;/p&gt;,&lt;p&gt;Ductile substance&lt;/p&gt;,&lt;p&gt;Thermal substance&lt;/p&gt;,&lt;p&gt;metallic substance&lt;/p&gt;,1,1,
&lt;p&gt;which of the following is not type of elastic modulus&lt;/p&gt;,&lt;p&gt;Share modulus&lt;/p&gt;,&lt;p&gt;young modulus&lt;/p&gt;,&lt;p&gt;Bulk modulus&lt;/p&gt;,&lt;p&gt;heat modulus&lt;/p&gt;,4,1,
&lt;p&gt;Young modulus is the measure of the resistance of a .............. to a change in its length&lt;/p&gt;,&lt;p&gt;liquid&lt;/p&gt;,&lt;p&gt;solid&lt;/p&gt;,&lt;p&gt;gas&lt;/p&gt;,&lt;p&gt;vapour&lt;/p&gt;,2,1,
&lt;p&gt;..............is a point after elastic limit where small increase in load will produce a large&lt;/p&gt;,&lt;p&gt;breakingl point&lt;/p&gt;,&lt;p&gt;share point&lt;/p&gt;,&lt;p&gt;peak point&lt;/p&gt;,&lt;p&gt;Yield point&lt;/p&gt;,4,1,
&lt;p&gt;extension Fracture or ..........&amp;nbsp; is a point where the elastic material can no longer withstand any increase in load.&lt;/p&gt;,&lt;p&gt;breaking point&lt;/p&gt;,&lt;p&gt;Yield point&lt;/p&gt;,&lt;p&gt;peak point&lt;/p&gt;,&lt;p&gt;share point&lt;/p&gt;,1,1,
&lt;p&gt;Which type of waves require a material medium for their propagation?&lt;/p&gt;,&lt;p&gt;Mechanical waves&lt;/p&gt;,&lt;p&gt;Electromagnetic waves&lt;/p&gt;,&lt;p&gt;Transverse waves&lt;/p&gt;,&lt;p&gt;Longitudinal waves&lt;/p&gt;,1,1,
&lt;p&gt;Which type of waves do not require a material medium for propagation?&lt;/p&gt;,&lt;p&gt;Mechanical waves&lt;/p&gt;,&lt;p&gt;Electromagnetic waves&lt;/p&gt;,&lt;p&gt;Transverse waves&lt;/p&gt;,&lt;p&gt;Longitudinal waves&lt;/p&gt;,2,1,
&lt;p&gt;What is the direction of particle vibration in a transverse wave?&lt;/p&gt;,&lt;p&gt;Perpendicular to the direction of wave propagation&lt;/p&gt;,&lt;p&gt;Parallel to the direction of wave propagation&lt;/p&gt;,&lt;p&gt;Opposite to the direction of wave propagation&lt;/p&gt;,&lt;p&gt;Random with respect to the direction of wave propagation&lt;/p&gt;,1,1,
&lt;p&gt;What is the direction of particle vibration in a longitudinal wave?&lt;/p&gt;,&lt;p&gt;Perpendicular to the direction of wave propagation&lt;/p&gt;,&lt;p&gt;Parallel to the direction of wave propagation&lt;/p&gt;,&lt;p&gt;Opposite to the direction of wave propagation&lt;/p&gt;,&lt;p&gt;Random with respect to the direction of wave propagation&lt;/p&gt;,2,1,
&lt;p&gt;Which waves require a medium for particle vibration?&lt;/p&gt;,&lt;p&gt;Transverse waves&lt;/p&gt;,&lt;p&gt;Longitudinal waves&lt;/p&gt;,&lt;p&gt;Electromagnetic waves&lt;/p&gt;,&lt;p&gt;None of the above&lt;/p&gt;,2,1,
&lt;p&gt;What are the regions of maximum upward displacement in a transverse wave called?&lt;/p&gt;,&lt;p&gt;Crests&lt;/p&gt;,&lt;p&gt;Troughs&lt;/p&gt;,&lt;p&gt;Compressions&lt;/p&gt;,&lt;p&gt;Rarefactions&lt;/p&gt;,1,1,
&lt;p&gt;What are the regions of maximum downward displacement in a transverse wave called?&lt;/p&gt;,&lt;p&gt;Crests&lt;/p&gt;,&lt;p&gt;Troughs&lt;/p&gt;,&lt;p&gt;Compressions&lt;/p&gt;,&lt;p&gt;Rarefactions&lt;/p&gt;,2,1,
&lt;p&gt;What is the maximum displacement of particles from their mean position called?&lt;/p&gt;,&lt;p&gt;Wavelength&lt;/p&gt;,&lt;p&gt;Amplitude&lt;/p&gt;,&lt;p&gt;Frequency&lt;/p&gt;,&lt;p&gt;Period&lt;/p&gt;,2,1,
&lt;p&gt;What is the time required for a particle to perform one complete cycle called?&lt;/p&gt;,&lt;p&gt;Wavelength&lt;/p&gt;,&lt;p&gt;Amplitude&lt;/p&gt;,&lt;p&gt;Frequency&lt;/p&gt;,&lt;p&gt;Period&lt;/p&gt;,4,1,
&lt;p&gt;What is the number of cycles performed by a wave per second called?&lt;/p&gt;,&lt;p&gt;Wavelength&lt;/p&gt;,&lt;p&gt;Amplitude&lt;/p&gt;,&lt;p&gt;Frequency&lt;/p&gt;,&lt;p&gt;Period&lt;/p&gt;,3,1,
&lt;p&gt;What is the distance between successive crests or troughs called?&lt;/p&gt;,&lt;p&gt;Wavelength&lt;/p&gt;,&lt;p&gt;Amplitude&lt;/p&gt;,&lt;p&gt;Frequency&lt;/p&gt;,&lt;p&gt;Period&lt;/p&gt;,1,1,
&lt;p&gt;What is the distance traveled by the wave per second called?&lt;/p&gt;,&lt;p&gt;Wavelength&lt;/p&gt;,&lt;p&gt;Amplitude&lt;/p&gt;,&lt;p&gt;Frequency&lt;/p&gt;,&lt;p&gt;Wave speed&lt;/p&gt;,4,1,
&lt;p&gt;The frequency of a wave can be given in terms of the wavelength and _______.&lt;/p&gt;,&lt;p&gt;Period&lt;/p&gt;,&lt;p&gt;Amplitude&lt;/p&gt;,&lt;p&gt;Speed&lt;/p&gt;,&lt;p&gt;Phase constant&lt;/p&gt;,1,1,
&lt;p&gt;The speed of a wave can be given in terms of the frequency and _______.&lt;/p&gt;,&lt;p&gt;Period&lt;/p&gt;,&lt;p&gt;Amplitude&lt;/p&gt;,&lt;p&gt;Wavelength&lt;/p&gt;,&lt;p&gt;Phase constant&lt;/p&gt;,3,1,
&lt;p&gt;What is the equation for a traveling wave in terms of a sine function?&lt;/p&gt;,&lt;p&gt;y = Asin&amp;omega;t&lt;/p&gt;,&lt;p&gt;y = Acos&amp;omega;t&lt;/p&gt;,&lt;p&gt;y = Asin(kx)&lt;/p&gt;,&lt;p&gt;y = Acos(kx)&lt;/p&gt;,1,1,
&lt;p&gt;What is the equation for a traveling wave that does not start from the origin?&lt;/p&gt;,&lt;p&gt;y = Asin&amp;omega;t&lt;/p&gt;,&lt;p&gt;y = Acos&amp;omega;t&lt;/p&gt;,&lt;p&gt;y = Asin(&amp;omega;t - &amp;phi;)&lt;/p&gt;,&lt;p&gt;y = Acos(&amp;omega;t - &amp;phi;)&lt;/p&gt;,3,1,
&lt;p&gt;Which type of waves are obtained when two progressive waves of equal amplitude and frequency combine together?&lt;/p&gt;,&lt;p&gt;Transverse waves&lt;/p&gt;,&lt;p&gt;Longitudinal waves&lt;/p&gt;,&lt;p&gt;Mechanical waves&lt;/p&gt;,&lt;p&gt;Stationary waves&lt;/p&gt;,4,1,
&lt;p&gt;What are the points in a stationary wave that are permanently at rest called?&lt;/p&gt;,&lt;p&gt;Crests&lt;/p&gt;,&lt;p&gt;Troughs&lt;/p&gt;,&lt;p&gt;Nodes&lt;/p&gt;,&lt;p&gt;Antinodes&lt;/p&gt;,3,1,
&lt;p&gt;What is the definition of a wave?&lt;/p&gt;,&lt;p&gt;A disturbance that causes permanent displacement of the medium&lt;/p&gt;,&lt;p&gt;A disturbance that transfers energy without causing permanent displacement of the medium&lt;/p&gt;,&lt;p&gt;A disturbance that travels through a vacuum&lt;/p&gt;,&lt;p&gt;A disturbance that requires a material medium for propagation&lt;/p&gt;,2,1,
&lt;p&gt;How are particles of the medium displaced in a transverse wave?&lt;/p&gt;,&lt;p&gt;Parallel to the direction of wave propagation&lt;/p&gt;,&lt;p&gt;Perpendicular to the direction of wave propagation&lt;/p&gt;,&lt;p&gt;Randomly in all directions&lt;/p&gt;,&lt;p&gt;None of the above&lt;/p&gt;,2,1,
